filename,included,reason,file_type,numeric_points,x_min_cm-1,x_max_cm-1,median_spacing_cm-1,intensity_min,intensity_max,intensity_mean,l2_norm,metadata_or_blank_lines,grid_flag
AKSHAYA K-ALPHA FC_BACTERIA_D2.txt,False,explicit BACTERIA label,.txt,1957,400.0,3500.0,1.584899999999834,855.75482,2397.771,963.1931433418498,42676.284636812634,0,
Amul full cream after heating 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,True,non-bacterial/control,.txt,2118,400.17,3499.68,1.4500000000002728,4630.87,45878.0,15874.010424929178,838278.6174840975,46,
Amul full cream basic 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,True,non-bacterial/control,.txt,2118,400.083,3499.09,1.4500000000002728,5346.99,27465.7,13914.12652974504,726505.2578469705,46,
Amul full cream Cold 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,True,non-bacterial/control,.txt,2118,400.083,3499.09,1.4500000000002728,5666.03,35422.5,16708.527082152974,857280.325704309,46,
Amul full cream RT 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,True,non-bacterial/control,.txt,2118,400.17,3499.68,1.4500000000002728,4314.23,21923.8,10998.6638101983,566156.1368504988,46,
Amul full cream RT after 24h 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,True,non-bacterial/control,.txt,2118,400.083,3499.09,1.4500000000002728,2539.71,15214.7,7599.730047214352,401822.20166525897,46,
AMUL TAZA TONED_BACTERIA_D2.txt,False,explicit BACTERIA label,.txt,1957,400.0,3500.0,1.584899999999834,918.98523,1590.3473,1071.8723535258048,47485.93818825779,0,
Amul toned milk after heating 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,True,non-bacterial/control,.txt,2118,400.17,3499.68,1.4500000000002728,7021.78,29712.1,17293.18394239849,893653.1514927113,46,
Amul toned milk basic 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,True,non-bacterial/control,.txt,2118,400.083,3499.09,1.4500000000002728,9743.62,44465.7,27182.240316336167,1376827.7577765349,46,
Amul toned milk Cold 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,True,non-bacterial/control,.txt,2118,400.083,3499.09,1.4500000000002728,10764.7,38487.2,25630.465911237017,1257363.0089506132,46,
